Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Abadia de Goiás (GO),16,29,"4,6",100,"59,6","1166,03","109,1","26,38","20,41","64,29","9,18","8,04","1,74","15,27","8,61","2,72","65,77","25,51",100,"49,84",100,100,8207
Abadia dos Dourados (MG),"7,2","13,3","5,4","89,5",51,"1007,64","48,13","158,52",0,"86,54","3,85","7,37","1,36","24,72","9,28","6,93","50,83","31,37","92,29","99,75",0,,7059
Abadiânia (GO),"12,8","15,4","5,2",100,"47,9","1054,23","37,77","110,05","19,61","59,31","6,37","4,74","0,77","11,55","10,38","6,16","44,54","37,46",,,,,18775
Abaeté (MG),"13,8",28,"4,6","98,98","71,8","1002,95","25,64","315,21","12,3","82,79","7,79","6,95","0,47","29,16","8,77","5,5","39,5","28,02","95,98","1,6",0,,23611
Abaetetuba (PA),"26,6","40,2","3,3","74,09","37,7","1073,51","287,49","220,01","15,85","53,85","7,74","4,9","5,64","25,3","6,18","55,13","86,54","62,79","25,24",,,98,153380
Abaiara (CE),"8,2","17,9","4,8",100,"56,9","803,33","259,13","97,73",0,"78,29","8,53","5,26","4,21","26,12","18,61","40,18","74,08","47,44","81,22",,,,11605
Abaíra (BA),"27,7",38,"4,4",100,"32,4","930,09","231,44","143,82",0,"70,45","6,82","8,81",0,"10,38","13,57","58,83","64,07","76,01",,,,,9199
Abaré (BA),"18,9","42,9","4,2","82,04","34,6","1050,59","238,39","62,23","18,94","81,06","8,33","3,86","5,65","41,19","12,01","74,99","88,23","45,73",100,"62,73",100,,20189
Abatiá (PR),"15,1","32,8","5,1",100,"58,1","1076,63","48,84","118,76","17,24","92,24","6,9","10,3","7,55","40,61","10,67","5,95","39,51","5,46",100,"20,92",100,100,7768
Abdon Batista (SC),15,"30,4",5,100,72,"1527,68","64,45","96,26",0,"53,66","9,76","4,61",0,"19,12","6,77","17,2","45,7","39,23",100,,,100,2604
Abelardo Luz (SC),"13,3","31,9","4,7","99,03","61,3","1288,85","114,02","146,51","21,66","75,45","8,3","4,48","4,48","34,37","6,34",34,"58,52","28,11",100,,,100,17847
Abel Figueiredo (PA),"28,1","53,6","3,6","92,36","42,5","935,56","258,92","138,39","28,17","39,44","9,86","5,67","13,32","29,17","12,96","63,69","79,59","37,21",,,,100,7231
Abre Campo (MG),"14,3","29,1","4,9","93,2","65,3","880,46","111,74","176,7",0,"74,81","8,89","9,17","7,64","29,78","8,19","42,27","68,66","16,67","79,65","79,65",0,"99,84",13733
Abreu E Lima (PE),"22,3","26,9","4,1","87,03",39,"1162,88","156,35","220,7","7,24","59,58","6,98","7,13","0,93","18,37","7,47","35,56","70,89","67,78","93,06","25,13",100,,99364
Abreulândia (TO),20,"32,4","4,6","86,71","31,5","978,87","142,04","63,86","37,04","62,96","11,11","2,72","1,25","13,24","9,68","14,46","60,98","72,52",100,,,100,2571
Acaiaca (MG),"10,3","41,5","3,7",100,"74,6","896,27","225,95","89,21",0,"77,78",,"8,36","0,44","16,99","8,77","46,77","72,49","20,03","96,45","95,88",0,100,4065
Açailândia (MA),"18,5","33,3","4,1","88,22","38,3","1199,31","104,17","189,4","13,67","38,7","7,1","5,43","3,8","18,03","12,47","11,24","68,98","36,69","48,69",,,,111339
Acajutiba (BA),"34,1","45,2","2,6","64,79",22,"1266,78","185,26","265,82","21,28","55,32","5,85","7,12","1,3","12,81","14,32","51,51","85,28","8,69",100,,,"72,94",15727
Acará (PA),46,"63,8","3,3","45,23","41,5","1291,4","299,05","146,04","16,13","33,57","9,27","4,31","6,06","26,35","12,81","44,73","92,28","75,94",,,,,54096
Acarape (CE),18,"36,6","4,7","78,35","27,4","967,75",205,"49,29","14,56","71,84","8,74","6,11","3,87","21,41","10,49","49,79","74,74","83,16","69,49","19,93",100,,16543
Acaraú (CE),"12,8","22,2","5,1","99,41","29,2","1154,08","296,59","170,52","8,81","84,62","9,01","5,76","6,01","30,61","12,99","71,21","88,95","40,6","66,03","8,49",100,,62199
Acari (RN),"6,7","16,1","4,8",100,"65,6","1016,63","146,46","246,07","19,05","72,38","1,9","7,76","12,83","31,82","9,57","20,76","63,77","72,7","13,24",100,100,100,11333
Acauã (PI),"24,4","22,4","4,3","88,3","32,3","1048,93","261,06","19,86","38,1","70,48","7,62","4,45","10,46","37,93","15,68","54,52","76,08","52,4","98,71",,,,6966
Aceguá (RS),"19,6",24,4,100,"54,6","1440,88","52,43","316,8",0,"73,08","3,85","4,83","14,17","55,25","8,25","18,32","52,72","58,09",100,,,"87,18",4759
Acopiara (CE),"8,8","23,4","5,2","91,49","26,3","890,45","207,06","209,83","19,54","63,94","5,51","7,78","5,43","20,91","18,47","44,22","87,73","71,34","69,78","14,17",100,,53572
Acorizal (MT),"4,9",30,"4,3","91,64","49,2","1746,04","152,37","227,45",0,"72,73","14,29","7,78","1,21","14,78","15,45","13,71","62,16","72,61",,,,,5269
Acreúna (GO),14,"22,8","5,4",100,"50,2","1350,11","47,96","202,93","14,76","53,14","8,12","5,53","6,34","28,2","13,09","11,21","47,87","24,32","96,85","34,86",100,100,22076
Açucena (MG),"14,8","34,1","4,8","97,85","52,2","860,6","115,48","146,7",0,"75,22","7,08","6,7","0,23","16,62","7,22","42,53","64,9","28,2","70,14",,,,9997
Açu (RN),24,"38,5","3,2","82,67","55,2","1040,53","130,26","261,21","8,08","63,93","6,59","4,97","1,15","12,62","15,13","33,02","69,82","50,65","99,59",,,"99,24",58183
Adamantina (SP),"5,6","6,8","4,9","90,75","67,8","1264,05","8,05","122,91","11,63","94,77","7,27","8,05","2,08","27,13","10,57","3,14","23,96","2,69",100,100,100,100,35139
Adelândia (GO),"8,3","20,5","4,9",100,"41,5","869,6","80,27","140,49",,"77,27","9,09","9,36",0,"8,97","11,19","6,04","49,4","13,74","99,61",,,,2564
Adolfo (SP),"9,5","17,7","5,2",100,"79,2","1184,22","58,02","74,82",0,"81,58","5,26","10,81","0,84","19,02","11,94","16,38","38,05","4,46",100,100,100,,3609
Adrianópolis (PR),"7,1","25,3",4,"97,78","61,6","1719,47","95,77","118,75","10,2","82,65","8,16","7,83","0,26","11,92","10,13","15,97","53,34","71,47",100,,,"98,96",6254
Adustina (BA),"41,3","54,6","3,2","94,28","35,4","1093,9","198,63","56,14","5,71","74,86","4,57","4,21","2,92","16,67","20,42","25,58","78,52","23,36",100,,,,17349
Afogados da Ingazeira (PE),"15,3",21,"5,2","87,37","32,9","1022,44","166,69","251,04","13,41","86,02","8,24","6,56","1,41","8,3","11,59","44,88","68,53","55,46",100,"99,6",0,100,37017
Afonso Bezerra (RN),"30,8","60,2","3,2","91,19","42,4","1154,35","208,09","107,76","9,01","59,46","7,21","6,15","1,01","8,78","14,95","59,97","91,35","55,31","86,09","74,08",100,100,11211
Afonso Cláudio (ES),"18,3","14,1",5,"82,66","65,9","1070,87","86,83","133,95","8,24","74,18","7,42","7,94","2,87","24,79","6,88","22,07","70,73","22,74","84,21",100,"51,82","99,98",32361
Afonso Cunha (MA),"34,8","52,5",3,"5,46","26,4","979,97","365,79","225,58","67,96","54,37","4,85","5,55","0,55","22,5","20,94","51,58","89,93","91,1","34,26",,,,6486
Afrânio (PE),"21,4","26,2","3,8","83,81","32,9","853,8","360,3","160,11","23,08","75,77","6,92","6,03","1,15","26,14","10,8","72,51","80,04","54,79",100,,,,19411
Afuá (PA),"49,4","60,6","2,7","29,1","30,2","1220,84","293,64","142,54","16,53","20,66","6,71","2,7","16,78","56,36","21,18","67,72","92,36","66,27","45,63",,,100,38144
Agrestina (PE),"27,9","30,4","3,7","96,02","18,6","886,08","290,75","164,87","5,92","71,6","7,4","9,21","3,45","26,5","13,48","66,32","80,3","4,27",100,80,0,,24644
Agricolândia (PI),"26,7","20,4",,100,"58,4","864,84","341,38","128,23",0,"66,67","9,88","9,68","8,87","29,29","12,2","69,92","78,19","95,02","98,71",,,"89,46",5062
Agrolândia (SC),"11,9",23,"5,3",100,"59,6","1364,6","9,89","48,54","18,87","67,3","9,43","6,24","0,35","24,24","11,27","8,29","25,87","39,83",100,,,"98,55",10581
Agronômica (SC),"11,5","22,7","5,1",100,"71,8","1371,86","7,71","37,5","14,71","73,53","5,88","5,7",0,"15,41","7,08","16,67","56,57","32,37",100,,,100,5437
Água Azul do Norte (PA),"26,5","51,2","3,4","88,26","41,6","1164,13","162,49","50,15","13,95","57,21","8,84","2,47","17,24","46,43","10,8","45,19","80,31","42,71",,,,,26682
Água Boa (MG),"17,9","36,7","4,2","93,06","66,6","873,49","228,21","119,51","15,79","56,32","8,42","7,31","12,81","63,89","14,81","61,45","84,48","21,51","69,85","89,94",0,"93,19",14370
Água Boa (MT),6,"21,9","4,6",100,"47,8","1430,93","32,76","142,05","10,23","76,73","7,16","3,75","4,36","22,83","10,95","8,09","33,92","47,73",100,"2,13",100,100,24501
Água Branca (AL),"37,9",40,"3,8","36,38","39,1","926,49","321,4","177,86","11,83","48,22","8,58","6,25","6,73","26,09","14,04","64,32","81,95","23,45","98,9","99,81",0,100,20467
Água Branca (PB),"23,2","28,3","4,9","84,79","40,8","984,17","330,24","70,1","9,26","81,48","5,56","5,26","6,62","26,8","14,29","65,03","74,06","64,08","99,14",,,"83,58",10258
Água Branca (PI),"10,9","30,2","4,6","97,84",45,"947,93","174,15","227,04","19,48","69,81","5,19","7,07","4,29","28,79","11,82","37,52","82,93","89,93","98,45","29,16",100,100,17119
Água Clara (MS),22,"27,2","4,8",100,"66,3","1457,23","83,35","112,77","6,33","67,72","7,91",4,"0,25","23,9","10,09","19,61","60,66","25,17",99,,,,14992
Água Comprida (MG),"16,2","25,8","5,4",100,"38,1","1112,26","111,85","63,7",0,70,10,"9,72",0,"12,37","11,02","49,57","55,43","9,5","97,73",100,100,100,2058
Água Doce do Maranhão (MA),"21,9","46,7","3,2","22,1","31,5","1047,84","318,5",14,"11,9","41,67","7,14","3,69","15,83","37,93","13,68","76,68","88,72","88,9",,,,,12457
Água Doce do Norte (ES),21,"21,6","4,2","94,81","55,7","1373,26","183,04","169,39","12,42","70,81","9,94","9,42","0,29","9,15","9,04","61,83","78,91","12,43","76,03","76,08",0,,11893
Água Doce (SC),"15,3","22,9","4,4","83,46","58,9","1285,28","10,46","107,85","18,87","75,47","10,38","6,43","1,59","46,78","9,11","1,49","19,1","36,92",100,,,100,7154
Água Fria (BA),"49,4","75,6","3,2","72,43","34,6","1299,07","250,01","109,91","47,06","66,47","14,12","6,45","1,2","34,96","10,05","67,17","82,01","36,99",100,,,,17508
Água Fria de Goiás (GO),"16,5","24,4","5,5","88,89",48,"1178,11","100,67","132,25",0,75,"11,36","2,32","1,3","15,79","11,31","28,08","61,22","59,45","95,88",,,,5613
Aguaí (SP),"18,2","21,4","4,6","90,23","82,1","1392,06","42,97","103,24","16,06","86,7","8,03","6,62","0,2","11,68","8,96","10,71","50,6","17,18",,,,100,35508
Água Limpa (GO),"12,5","25,9","6,1",100,"49,1","937,96","102,72","109,15","45,45","86,36","13,64","7,63","1,28","23,38","8,58","23,16","64,17","11,55",100,,,100,1967
Aguanil (MG),"12,8","47,1","4,7","97,8","70,8","998,45","81,07","83,84","68,18","88,64","11,36","7,21","0,42","21,53","10,84","26,17","46,09","12,83","99,26","79,79",0,100,4440
Água Nova (RN),"20,7",40,"3,9",100,"79,9","926,14","269,8","70,65",0,"92,11","10,53","9,82","10,71","25,2","16,61","66,68","70,9","65,01",100,,,"99,23",3260
Água Preta (PE),"25,9",39,"3,5","26,11","27,4","905,5","180,56","169,39","6,17","53,29","5,97","4,92","0,6","21,87","18,07","22,15","80,98","19,67","98,39",,,,36371
Água Santa (RS),"18,7",18,5,100,"59,1",1585,"35,65","60,9",0,"84,44","6,67","8,07","2,01","23,05","5,6","11,98","54,79","15,15",100,,,100,3841
Águas Belas (PE),31,"45,4","4,1","93,51","39,9","1027,91","388,52","187,03","20,86","69,96","5,01","7,36","2,07","16,52","24,25","77,07","90,38","24,45","78,16",,,100,43087
Águas da Prata (SP),"13,7","15,4","5,6","86,02","78,2","1274,49","22,92","114,02","25,32","77,22","11,39","9,87","0,21","15,51","5,61","10,77","40,41","30,59",100,"99,07","95,41",100,8104
Águas de Chapecó (SC),16,"19,5","4,5",100,"74,4","1250,97","42,89","61,7",0,"83,33","5,56","5,28","5,37","29,02","11,16","33,09","55,01","20,26",100,,,,6445
Águas de Lindóia (SP),"12,9","16,1","5,1","87,12","71,7","1240,92","18,09","112,91","8,37","72,8","10,04","9,02","1,63","23,34","8,68","9,33","46,59",17,100,"99,45","52,03",,18509
Águas de Santa Bárbara (SP),6,"11,3","5,9",100,"70,4","1349,59","77,04","101,38",0,"77,46","1,41","6,66","1,81","22,99","10,03","16,52","73,27","22,66","96,85","66,49",100,,6009
Águas de São Pedro (SP),"4,6","18,7","6,6",100,"71,1","1298,97","18,88","160,83",0,"81,08","8,11","11,63","0,56","6,02","2,48","19,29","52,36","35,86","97,18","92,44",100,100,3268
Águas Formosas (MG),"10,6","33,2","3,9","97,59","67,9",1010,"216,69","343,44","19,69","75,98","3,94","7,67","19,61","64,63","14,27","38,65","76,61","33,11","87,96",0,0,,19416
Águas Frias (SC),5,"10,9","5,4",100,"82,4","1509,1","15,23","58,68",0,"82,14","7,14","3,77","7,67","40,06","9,46","4,8","39,04","19,96",100,,,100,2387
Águas Lindas de Goiás (GO),"24,8","34,9","4,4","91,81","54,8","1008,4","145,1","72,42","12,46","49,2","8,95","3,23","1,17","15,46","7,93","28,33","75,31","39,52",100,"2,89",100,100,195810
Águas Mornas (SC),"18,2","26,8","5,2",100,"70,3","1255,79","6,5","38,86","12,82","84,62","6,41","9,05","0,86","15,99","10,92","14,34","32,79","79,53","94,51",,,"98,41",6298
Águas Vermelhas (MG),"10,7",27,"4,2","93,71","73,4","870,5","268,18","153,4",0,"76,88","5,78","4,64","8,94","49,73","13,43","59,13","79,83","37,2",100,"38,5",100,"62,6",13576
Agudo (RS),"25,4",37,5,"95,16","65,9","1331,47","58,1","118,62",0,66,"4,67","7,37","6,05","27,94","5,79","39,34","66,42","43,71",100,,,,17085
Agudos do Sul (PR),"19,5","23,2","4,5",100,"73,7","1148,83","55,68","124,67","8,85","81,42","7,96","7,53","0,33","15,76","8,49","24,05","57,87","43,94",100,"51,18",100,"79,97",9161
Agudos (SP),7,"12,7","4,5",100,"69,4","1477,66","30,18","152,77","12,13","81,11","9,71","7,02","0,83","17,14","7,27","14,38","41,23","20,46",100,100,"33,61","56,75",36880
Águia Branca (ES),"15,8","16,5","4,7","95,88","62,3","1140,54","76,02","92,43","7,81","66,41","9,38","6,45","1,51","8,82","9,03","21,77","47,23","15,04","90,16",,,,10085
Aguiarnópolis (TO),"25,4",23,"3,8","99,3","55,4","956,43","134,37","248,25",0,"63,16","2,63","3,72","0,52","14,19","10,82","21,12","65,52","70,39","98,92","31,37",100,100,6460
Aguiar (PB),"25,5",41,"3,8","95,8","38,1","560,71","280,21","29,19",0,"79,66","3,39","5,39","1,85","21,21","14,26","38,16","65,18","82,86",100,,,100,5562
Aimorés (MG),"10,5","20,4","4,7","97,81","63,9","1052,13","130,48","203,21",0,"74,53","5,97","8,6","6,16","53,52","9,04","28,28","62,74","6,43","97,67","97,67",80,100,25711
Aiquara (BA),"35,5","30,3","2,7","83,46","52,2","1019,69","188,09","395,87","14,71","61,76","10,29","5,93","1,04","21,92","18,67","44,1","68,25","45,19","95,53",,,,4725
Aiuaba (CE),"16,5","31,5","4,8","34,38",20,"1073,33","265,82","81,98","10,87","85,87","8,15","5,53","0,77","14,82","20,52","70,66","79,28","83,83","95,4",,,100,17194
Aiuruoca (MG),"21,5","30,3","4,5",100,"66,1","1056,19","38,3","434,96",0,"67,92","7,55","11,92","0,21","37,86","11,28","17,49","52,4","19,74","95,33","95,33",0,100,6209
Ajuricaba (RS),"14,5","29,5","5,7","94,66","51,5","1265,73","53,82","150,17",0,85,"6,67","7,07","6,82","29,03","6,86","26,58","66,28","4,52",100,,,100,7358
Alagoa Grande (PB),"44,1","53,5","3,3","57,77","49,4","980,83","232,45","202,13","16,81","73,67","7,56","6,93","1,07","12,63","16,73","48,65","79,67","25,63",100,"51,35",100,"90,12",28565
Alagoa (MG),"25,2","35,6","4,5",100,"67,9","1085,33","86,04","88,94",0,75,5,"5,81",1,"35,87","10,27","23,98","56,65","35,89",,,,,2752
Alagoa Nova (PB),"33,3","47,3","3,3","71,59","51,6","730,44","170,19","110,05","24,17","69,49","8,16","8,22","4,15","22,51","20,26","49,67","76,87","25,59","66,43",,,,20689
Alagoinha do Piauí (PI),"27,4",36,"4,1","35,64","37,8","1070,5","303,44","103,16","35,29","72,94","8,24","7,71","8,25",28,"19,79","54,95","77,95","59,42","90,31",,,100,7526
Alagoinha (PB),"30,4","39,3","3,8","87,91","32,2","1070,6","228,88","108,05","8,47","75,85","5,51","6,5","1,78","13,98","20,74","48,33","80,71","18,88","99,39",,,100,14464
Alagoinha (PE),"32,9","29,8","3,6","91,84","26,7","891,48","220,16","204,9","10,81","74,05","10,81","7,72","0,84","17,53","18,06","31,36","79,53","41,46","76,56","79,52",0,100,14517
Alagoinhas (BA),"33,2","44,4","3,1","87,49","38,6","1256,48","132,46","250,16","14,64","61,56","8,16","6,79","1,47","16,54","6,23","42,29","71,53","35,87",100,"27,5",100,100,155979
Alambari (SP),"13,1","16,4","4,9",100,"72,7","1115,7","35,09","82,25",0,"81,43","12,86","5,74",0,"14,81","6,01","2,11","44,36","12,21",100,"62,11",100,100,5754
Albertina (MG),"7,9","14,6","5,2",100,"59,4","1118,99","28,84","71,07",0,"91,3","17,39","5,58","2,41","23,17","7,54","15,53","50,65","18,4",99,99,0,100,3046
Alcântara (MA),"26,9","41,6","3,8","21,27","29,5","2002,72","345,26","114,35","4,37","19,21","12,66","3,92","7,8","25,08","11,3","70,59","89,81","72,72","99,89",,,,21673
Alcântaras (CE),"15,3",39,"4,9","75,49","40,1","840,28","101,42","121,49",0,"84,3","6,61","4,89","1,28","15,37","21,2","20,82","47,45","95,07","77,04","39,56",100,,11459
Alcantil (PB),"23,6","21,5","3,5","98,83","68,4","843,73","162,07","71,63","21,58","69,06","4,32",8,"2,48","16,41","11,24","52,98","77,61","67,18",100,"98,2",0,100,5499
Alcinópolis (MS),"31,1","42,6","4,5",100,"78,7","1477,99","112,43","157,08",,70,8,"3,86",0,"10,32","11,52","6,1","45,91","38,61","99,27","8,54",100,100,5188
Alcobaça (BA),"36,3","43,4","3,2","80,78","46,3","1063,68","185,01","160,51","23,89","44,37","10,24","5,95","16,36","21,85","15,58","46,67","76,65","15,89",100,,,,23376
Aldeias Altas (MA),"31,7","40,7","3,2","43,13","26,5","1114,74","208,3","94,74","16,2","28,01","7,87","4,17","27,1","52,66","23,99","45,26","91,85","96,33","41,03",,,,26387
Alecrim (RS),"15,3","19,9","5,3","73,65","34,9","1327,24","38,77","130,94",0,"86,44","5,08","8,91",1,"16,24","4,18","10,34","42,76","24,3",100,,,100,6736
Alegre (ES),"17,5","20,4","4,2","90,99","53,8","1421,17","45,72","155,12","5,1","73,21","7,14","7,03","1,32","21,18","7,86","21,64","52,14","16,74",100,100,0,100,32146
Alegrete do Piauí (PI),"24,8","29,7","3,9","99,01","28,5","914,13","266,89","61,78","12,99","75,32","2,6","6,61","4,58","16,55","19,45","48,18","81,49","57,64","99,92",,,100,4838
Alegrete (RS),"18,1",34,"4,2","94,96","62,2","1252,18","21,88","274,37","13,51","81,76","10,92","9,27",2,"17,01","6,87","1,96","27,32","61,51",100,"21,16",100,100,78003
Alegria (RS),"8,6","32,5","4,5",100,"41,8","1413,9","64,89","118,05",0,"76,32","18,42","9,91","1,03","17,11","5,03","28,35","52,29","15,35",,,,,4037
Além Paraíba (MG),"16,4","31,1",4,"99,34","54,7","1066,69","59,72","255,43","19,66","69,78","6,63","8,81",1,"27,28","6,76","18,74","53,77","24,68","85,22","60,74",0,,35866
Alenquer (PA),"31,8","47,4","3,6","44,97","31,9","1121,82","236,47","176,31","26,5","41,87","5,65","4,56","9,18","30,46","7,21","39,26","91,31","88,36","29,25",,,,55246
Alexandria (RN),"34,3","38,4","3,8","96,4","42,9","874,13","255,99","254,11","11,76","68,24","9,41","7,23","13,16","17,52","16,24","60,94","73,19","42,97","97,75","69,99",0,100,13827
Alexânia (GO),"13,6",23,"4,9","92,25","45,1","1282,67","118,47","215,88","11,44","62,24","5,72","6,61","0,74","20,76","9,62","11,66","61,11","40,32",100,,,100,26770
Alfenas (MG),"9,1","20,7","4,6","99,77","69,5","1554,12","24,91","191,72","14,03","72,04","11,02","7,84","0,11","12,64","6,4","12,7","48,96","4,84","89,76","88,02","70,46",100,79707
Alfredo Chaves (ES),"18,9","23,7","5,1","95,09","65,4","1132,31","42,3","70,13",0,"81,16","8,7","6,56","1,78","15,61","4,04","15,33","43,55","57,91","98,95","98,95","37,86",100,15082
Alfredo Marcondes (SP),"3,4","11,6","4,7",100,"81,6","1174,98","59,96","84,35","20,83","85,42","10,42","9,67","1,59","19,81","6,47","17,07","39,53","1,35",100,100,100,100,4135
Alfredo Vasconcelos (MG),12,"29,4",5,100,"75,9","914,28","67,38","90,89","40,82","69,39","12,24","6,64","1,27","24,83","6,14","16,29","55,08","18,99","91,99",,,,6775
Alfredo Wagner (SC),"15,6","22,2","4,8","98,3","60,1","1092,08","47,43","70,51","14,93","76,12","3,73","6,53","0,25","19,65","7,94","24,13","58,41","48,86",100,"98,88",100,,9960
Algodão de Jandaíra (PB),"26,5","40,2","3,2","58,98","67,6","885,66","618,2",0,0,"74,51","5,88","8,8",0,"16,39","15,4","95,83","93,92","49,64",0,,,,2501
Alhandra (PB),"28,1","46,4","2,7","69,12","51,8","1364,06","240,88","160,19","6,98","58,37","4,42","6,28","0,72","7,48","14,5","52,2","83,8","13,86",100,,,,19579
Aliança do Tocantins (TO),"19,2","24,1","5,3",100,"59,4","1035,23","139,37","299,98",0,"51,61","10,75","10,49","0,33","20,38","11,47","33,76","58,47","57,12",100,,,,5527
Aliança (PE),"33,4","36,5",3,"96,79","22,8","898,35","236,28","262,35","13,33","74,1","6,1","7,53","0,77","16,92","13,8","54,25","79,31","2,68",100,,,,38267
Almadina (BA),"36,4","46,1","3,1","97,32","34,5","1130,48","318,25","460,9","26,32","53,95","17,11","9,36","0,85",10,"23,87","75,07","80,97","51,9",100,,,,5985
Almas (TO),"14,4","29,4","4,6","97,52",57,"952,43","216,45","184,01","7,81","69,53","10,94","6,74","1,46","12,68","11,91","39,74","66,27","91,22","99,31",,,,7273
Almeirim (PA),"42,4","62,3","2,5","34,37","25,3","1735,44","345,59","148,83","17,45","42,68","8,05","3,86","7,29","30,56","8,59","59,46","92,18","96,14",,,,,33195
Almenara (MG),"21,3",33,4,"98,74",54,"1003,19","165,49","433,97","12,24","66,78","8,39","6,56","4,29","36,83","16,74","18,74","74,88","36,65","95,55","84,61",100,,41794
Almino Afonso (RN),"24,9","43,5","3,6","97,51","73,3","1313,21","294,79","102,09",20,82,8,"8,03","25,51","38,88","11,47","63,07","75,52","73,63",0,,,100,4854
Almirante Tamandaré do Sul (RS),"10,2","12,8","5,3",100,"40,2","1477,3","26,61","24,01",0,68,12,"7,7",0,"11,35","6,23","3,89","28,73","14,31","77,61",,,100,2079
Almirante Tamandaré (PR),"23,9","35,5",4,"98,74","75,4","1360,37","37,42","60,84","10,08","72,06","9,8","5,23","0,46","15,51","7,3","14,03","49,65","51,92",100,"44,27",100,100,115364
Aloândia (GO),"16,2","29,5","5,6",100,"26,8","1040,02","92,55","268,6",,"86,67","6,67","7,24","2,44","20,51","9,88","9,55","44,62","17,58",100,,,,2071
Alpercata (MG),"13,5","29,1",4,100,"22,1","899,32","175,46","113,97",0,"64,13","11,96","7,19","1,21","14,53","11,24","53,38","64,21","0,66","75,45",,,"99,75",7515
Alpestre (RS),"10,2","18,6","4,4",100,"38,3","1685,01","29,75","76,54",0,"88,57","4,29","9,01","5,67","25,86","7,58","12,93","32,18","24,38",100,,,100,7433
Alpinópolis (MG),"4,3","13,6","5,1","98,73","65,6","1039,63","45,27","171,2","4,39","88,6","8,77","6,05","2,16","25,75","5,96","6,73","31,8","20,5","92,36","88,95","79,15",,19846
Alta Floresta D'Oeste (RO),"19,9","25,1","4,8","85,47","58,1","1118,45","79,3","142,56","14,12","67,23","6,5","5,39","4,64","41,53","13,02","23,23","66,31","65,44","73,27",,,,25437
Alta Floresta (MT),"4,6","22,1",5,"97,08","58,6","1330,14","46,39","235,63","19,19","77,31","5,3","6,3","2,92","20,08","9,84",7,"38,4","47,6",100,"52,8",100,100,50189
Altair (SP),6,7,"4,1",100,"78,6","1545,26","41,88","175,32","20,41","91,84","18,37","5,35","0,45","9,95","13,73","4,09","37,61","14,89",100,100,100,100,4109
Altamira do Maranhão (MA),"34,2","51,2",,0,"12,1","1005,14",304,"140,69","34,09","36,36","2,27","4,34","4,12","19,02","20,81","62,73","67,19","31,45","31,68",,,,8070
Altamira do Paraná (PR),11,"24,9","3,9",100,"97,8","1157,34","98,76","77,11",0,"85,92","5,63","11,53",0,"13,99","11,64","12,35","35,49","19,98",100,"46,72",100,,2948
Altamira (PA),"25,4","35,3","4,8","60,52","47,2","1495,54","130,82","301,18","14,07","34,58","6,63","6,46","4,96","23,38","10,71","24,01","71,98","94,45","39,23","39,23",100,100,111435
Altaneira (CE),"9,3","48,1","5,4",100,"63,6","961,95","368,96","130,29","8,85","63,72","3,54","7,09","3,79","29,03","16,83","71,39","76,54","67,95","82,67","11,69",100,,7479
Alterosa (MG),"6,2","13,3","5,6",100,"67,2","925,85","61,5","251,37","5,38","89,25","10,75","8,8","0,28","26,63","8,37","19,36","49,62","6,36","96,57",,,,14551
Altinho (PE),"28,2",36,"4,1","54,02","38,2","1056,15","226,81","229,58","21,58","54,68","10,07","8,87","1,06","19,91","12,63","63,3","81,75","13,3",100,"79,96",0,"91,7",22896
Altinópolis (SP),10,"12,8","4,7","93,68","72,9","1155,93",46,"133,51","16,39","87,43","10,38","8,39","0,49","22,16","9,2","23,13","45,92","33,54",100,100,100,100,16219
Alto Alegre do Maranhão (MA),"20,2","44,7","3,3","27,39","12,1","792,59","240,96","68,03","11,93","42,48","7,4","5,4","5,6","26,99","21,48","56,46","83,56",69,"99,78",,,"95,27",26872
Alto Alegre do Pindaré (MA),"9,6",29,"4,7","46,14","15,5","1085,16","287,33","144,51","12,53","36,33","3,76","5,08","17,16","32,64","16,55","74,27","91,2","42,85","90,03",,,50,31312
Alto Alegre dos Parecis (RO),"22,8","30,4","4,4","50,05","73,5","1002,96","71,81","52,46","11,63","77,33","7,56","3,84","20,15","49,95","8,33","25,14","69,14","64,87","76,95",,,100,14045
