Territorialidades,Taxa de Distorção Idade-Série no fundamental 2017,Taxa de Distorção Idade-Série no médio 2017,IDEB anos finais do ensino fundamental 2017,% de alunos do ensino fundamental em escolas com internet 2017,% de docentes do fundamental com formação adequada 2017,Rendimento médio no setor formal 2017,Transferência per capita do Bolsa Família 2017,Transferência per capita do Benefício de Prestação Continuada 2017,Taxa de mortalidade infantil 2017,% de nascidos vivos com pelo menos sete consultas de pré-natal 2017,% de nascidos vivos com baixo peso ao nascer 2017,Taxa bruta de mortalidade 2017,% de internações por doenças relacionadas ao saneamento ambiental inadequado 2017,% de internações por condições sensíveis à atenção primária 2017,% de analfabetos com 15 anos ou mais de idade no Cadastro Único 2017,% de extremamente pobres no Cadastro Único pós Bolsa Família 2017,% de pessoas inscritas no Cadastro Único que recebem Bolsa Família 2017,% de cobertura vegetal natural 2017,% da população urbana residente em domicílios ligados à rede de abastecimento de água 2017,% da população urbana residente em domicílios ligados à rede de esgotamento sanitário 2017,% de esgoto tratado 2017,% da população urbana atendida por serviços regulares de coleta de resíduos domiciliares 2017,População total 2017
Cristalândia do Piauí (PI),"40,3","47,8","3,1","82,3","37,8","998,32","295,46","52,36","20,62","64,95","7,22","3,56","3,25","27,78","10,85","46,58","82,93","91,01","71,27",,,,8154
Cristalândia (TO),"27,5","45,9","4,7",100,"46,4","869,43","182,49","188,94","9,71","78,64","9,71","7,05","2,62","29,28","9,74","35,72","62,82","73,21",100,,,100,7374
Cristal do Sul (RS),"9,7","17,9","4,3",100,"46,1","1198,5","113,87","63,68",0,80,10,"9,94","1,57","14,96","3,9","37,48","67,92","16,59",,,,,2918
Cristália (MG),"8,7","28,3","3,2","94,34","61,7","967,7","400,98","44,33","14,93","91,04","7,46","3,31","3,11","31,38","9,88",30,"89,65","75,84","78,79","29,33",100,,6042
Cristalina (GO),"19,3","20,1",5,100,"56,9","1323,99","91,04","145,93","7,7","66,67","8,03","4,93","0,31","15,15","10,28","6,08","65,63","37,68","90,43","28,42",100,,55347
Cristal (RS),"26,5","33,5","4,1","99,03",61,"1013,3","77,38","140,6","12,2","84,15","1,22","6,64","0,28","15,08","9,13","17,64","51,74","51,43",100,,,100,7831
Cristiano Otoni (MG),"13,8","24,2","3,5","95,58","52,4","930,58","61,2","108,3","17,54","77,19","12,28","5,36","4,12","25,11","7,04","16,67","46,04","10,46","90,89",,,"92,23",5225
Cristianópolis (GO),"24,7","30,7","4,8",100,"65,3","1083,72","124,88","92,12",,"63,89","8,33","6,27","1,95",20,"8,43","11,63","38,65","31,31",100,,,,3029
Cristina (MG),"9,2","23,3","4,8",100,"58,3","963,49","49,61","157,31","10,1","74,75","10,1","7,92","1,91","35,01","9,08","13,19","43,99","19,99",100,"99,77",0,100,10482
Cristinápolis (SE),"30,3","62,6","3,2","82,36","40,4","1023,16","272,91","224,91","13,2","52,48","5,61","6,08","0,87","15,89","16,12","41,96","85,28","12,59","98,7",,,,18270
